season	age	league	Tm	G	W	L	season_WinP	career_WinP	fuzzy_name	tenure	rookie	prev_season	W_prev	season_WinP_prev	winP_change	race	compound_mean_mean	compound_mean_std	user_count
2015	42.0	NBA	IND	82	45.0	37.0	0.5489999999999999	0.511	frank vogel	6.0	False	2014	38.0	0.4634146341463415	0.08558536585365845	W	0.14224200937950932	0.43300103834272197	231
2016	43.0	NBA	ORL	82	29.0	53.0	0.354	0.511	frank vogel	1.0	True	2015	35.0	0.4268292682926829	-0.07282926829268294	W	0.032099340277777756	0.4587626164735459	96
2017	44.0	NBA	ORL	82	25.0	57.0	0.305	0.511	frank vogel	2.0	False	2016	29.0	0.35365853658536583	-0.04865853658536584	W	0.012383804713804708	0.46467402461643315	99
2016	36.0	NBA	LAL	82	26.0	56.0	0.317	0.3720000000000001	luke walton	1.0	True	2015	17.0	0.2073170731707317	0.1096829268292683	W	0.1630833333333334	0.4559903706318527	105
2017	37.0	NBA	LAL	82	35.0	47.0	0.4270000000000001	0.3720000000000001	luke walton	2.0	False	2016	26.0	0.3170731707317073	0.10992682926829278	W	0.10431521164021165	0.4489278225679978	126
2015	36.0	NBA	PHO	33	9.0	24.0	0.273	0.28	earl watson	1.0	True	2014	39.0	0.47560975609756095	-0.20260975609756093	B	0.33863333333333334	0.4109394420106204	9
2016	37.0	NBA	PHO	82	24.0	58.0	0.293	0.28	earl watson	2.0	False	2015	23.0	0.2804878048780488	0.012512195121951175	B	0.22647988505747135	0.3880312699971759	29
2017	38.0	NBA	PHO	3	0.0	3.0	0.0	0.28	earl watson	3.0	False	2016	24.0	0.2926829268292683	-0.2926829268292683	B	-0.11113859649122806	0.4658463672271249	57
2014	43.0	NBA	NOP	82	45.0	37.0	0.5489999999999999	0.439	monty williams	2.0	False	2013	34.0	0.4146341463414634	0.13436585365853654	B	0.03778065956056526	0.4031279602254563	212
2014	55.0	NBA	WAS	82	46.0	36.0	0.561	0.406	randy wittman	4.0	False	2013	44.0	0.5365853658536586	0.024414634146341485	W	0.0056189052287581726	0.4105710998714284	255
2015	56.0	NBA	WAS	82	41.0	41.0	0.5	0.406	randy wittman	5.0	False	2014	46.0	0.5609756097560976	-0.060975609756097615	W	0.051621877192982474	0.4370500805934082	95
