fuzzy_name	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	year	player_join	Player	url	start_year	end_year	height	weight	birth_date	race	total_population	metro_percent_white	metro_percent_black	experience	youth	oldness	height_dummies
c.j. beathard	0.09290665266106445	0.41107271962213376	119	C.J.Beathard	SF	qb	-176	-23.1	4	-0.9805213754201302	-1.2777961629932555	-1.836294644652111	2017	c j beathard	c.j. beathard	/players/B/BeatC.00.htm	2017.0	2018.0	74.0	215.0	November 16, 1993	W	4577530			0.0	5.025210084033613	0.0	tall
cam newton	0.11777086489898986	0.44768412916919786	396	C.Newton	CHO	qb	141	-6.9	22	-0.4592023865239089	-0.4110532219510546	0.33826480296223105	2017	c newton	cam newton	/players/N/NewtCa00.htm	2011.0	2018.0	77.0	245.0	May 11, 1989	B	2381152	68.4	22.2	6.0	0.0	0.9747899159663866	tall
cameron brate	0.23620925925925926	0.38859075195779236	27	C.Brate	TB	te	154	24.7	6	1.6199122820779959	1.25131680102567	1.1597161528369295	2017	c brate	cameron brate	/players/B/BratCa00.htm	2014.0	2018.0	77.0	245.0	July 3, 1991	W	2927714	78.7	12.0	3.0	2.0252100840336134	0.0	tall
carlos hyde	0.24177391304347828	0.3878236234745135	23	C.Hyde	SF	rb	12	-7.4	8	-0.5373319395967199	-0.5118660300315787	1.0685085138183976	2017	c hyde	carlos hyde	/players/H/HydeCa00.htm	2014.0	2018.0	72.0	229.0	September 20, 1990	B	4577530			3.0	2.0252100840336134	0.0	short
carson wentz	0.18072259557344045	0.38951699914534355	2194	C.Wentz	PHI	qb	1047	23.8	33	1.0307503072930508	1.2314781539745978	1.6671622431709954	2017	c wentz	carson wentz	/players/W/WentCa00.htm	2016.0	2018.0	77.0	237.0	December 30, 1992	W	6047721	67.5	20.9	1.0	4.025210084033613	0.0	tall
case keenum	0.17383124317094273	0.4019252085508329	960	C.Keenum	MIN	qb	1293	28.1	22	1.4353069989916958	1.4615395519055527	0.33826480296223105	2017	c keenum	case keenum	/players/K/KeenCa00.htm	2012.0	2018.0	73.0	215.0	February 17, 1988	W	3488436	80.3	7.8	5.0	0.025210084033613356	0.0	tall
chris hogan	0.15333194444444448	0.4698221256051401	24	C.Hogan	BOS	wr	71	2.5	5	-0.34219485229677	0.06440635687845286	0.2855300234773965	2017	c hogan	chris hogan	/players/H/HogaCh00.htm	2012.0	2018.0	73.0	210.0	October 24, 1988	W	4728844	77.3	8.0	5.0	0.025210084033613356	0.0	tall
chris ivory	0.08302657657657657	0.45930229709322723	37	C.Ivory	JAC	rb	-38	-17.0	1	-1.0647881041966747	-1.2690921046225567	-1.2595663275475155	2017	c ivory	chris ivory	/players/I/IvorCh00.htm	2010.0	2018.0	72.0	223.0	March 22, 1988	B	1424097	70.4	21.4	7.0	0.0	1.9747899159663866	short
cole beasley	0.15006825396825396	0.3181610800061626	21	C.Beasley	DAL	wr	-22	-16.9	4	-1.1331990224324826	-1.2163512809762644	-0.08097120068762009	2017	c beasley	cole beasley	/players/B/BeasCo00.htm	2012.0	2018.0	68.0	180.0	April 26, 1989	W	6957123	69.7	15.3	5.0	0.025210084033613356	0.0	short
corey coleman	0.12679230769230768	0.4551655038977159	26	C.Coleman	CLE	wr	-41	-21.5	2	-1.2948020249333272	-1.5200360817047027	-0.8139736490176532	2017	c coleman	corey coleman	/players/C/ColeCo00.htm	2016.0	2017.0	71.0	185.0	July 6, 1994	B	2061630	74.0	20.0	1.0	4.025210084033613	0.0	short
dak prescott	0.1307705293819656	0.4282777766364791	94	D.Prescott	DAL	qb	375	-0.2	22	-0.07438016759105169	-0.05258546238421837	0.33826480296223105	2017	d prescott	dak prescott	/players/P/PresDa01.htm	2016.0	2018.0	74.0	238.0	July 29, 1993	B	6957123	69.7	15.3	1.0	4.025210084033613	0.0	tall
danny amendola	0.10800045931758534	0.46434896803384323	127	D.Amendola	BOS	wr	138	8.4	2	0.22766836704831336	0.4539151230301453	-0.8139736490176532	2017	d amendola	danny amendola	/players/A/AmenDa00.htm	2009.0	2018.0	71.0	190.0	November 2, 1985	W	4728844	77.3	8.0	8.0	0.0	2.9747899159663866	short
davante adams	0.0987193820224719	0.4632800629526845	89	D.Adams	GB	wr	215	10.3	10	0.8825857982359465	0.5793501494179785	2.1180361443024798	2017	d adams	davante adams	/players/A/AdamDa01.htm	2014.0	2018.0	73.0	215.0	December 24, 1992	B	314555	88.0	1.9	3.0	2.0252100840336134	0.0	tall
david carr	0.057978999999999996	0.4531047052136346	50	D.Carr	OAK	qb	709	9.7	22	0.4748959910567018	0.4770907793637934	0.33826480296223105	2017	d carr	david carr	/players/C/CarrDa00.htm	2002.0	2012.0	75.0	215.0	July 21, 1979	W	4577530			15.0	0.0	9.974789915966387	tall
deandre hopkins	0.18489690476190482	0.3710795750075	42	D.Hopkins	HOU	wr	367	13.3	13	2.175409818242702	0.7774054542408728	3.217539816797529	2017	d hopkins	deandre hopkins	/players/H/HopkDe00.htm	2013.0	2018.0	73.0	212.0	June 6, 1992	B	6482592	65.7	17.2	4.0	1.0252100840336134	0.0	tall
derek carr	0.10128829885057472	0.4351200317379297	145	D.Carr	OAK	qb	709	9.7	22	0.4748959910567018	0.4770907793637934	0.33826480296223105	2017	d carr	derek carr	/players/C/CarrDe02.htm	2014.0	2018.0	75.0	215.0	March 28, 1991	W	4577530			3.0	2.0252100840336134	0.0	tall
desean jackson	0.03579500000000001	0.4393617559734205	90	D.Jackson	TB	wr	105	1.6	3	-0.053010532032100814	0.0049897654315845434	-0.4474724248526367	2017	d jackson	desean jackson	/players/J/JackDe00.htm	2008.0	2018.0	70.0	175.0	December 1, 1986	B	2927714	78.7	12.0	9.0	0.0	3.9747899159663866	short
deshaun watson	0.16337244458653016	0.4354552290875459	295	D.Watson	HOU	qb	497	23.1	19	0.12625363886112173	1.194026298497466	-0.02416177164015926	2017	d watson	deshaun watson	/players/W/WatsDe00.htm	2017.0	2018.0	74.0	220.0	September 14, 1995	B	6482592	65.7	17.2	0.0	5.025210084033613	0.0	tall
deshone kizer	0.06924088574383426	0.42040632578716286	719	D.Kizer	CLE	qb	-756	-34.5	11	-1.9343542257665285	-1.8877263807636933	-0.9906326372465332	2017	d kizer	deshone kizer	/players/K/KizeDe00.htm	2017.0	2018.0	76.0	235.0	January 3, 1996	B	2061630	74.0	20.0	0.0	5.025210084033613	0.0	tall
devin funchess	0.3029194871794871	0.3328043458647573	65	D.Funchess	CHO	wr	168	6.8	8	0.4828310025759626	0.3482856271246016	1.3850336959724463	2017	d funchess	devin funchess	/players/F/FuncDe00.htm	2015.0	2018.0	76.0	225.0	May 21, 1994	B	2381152	68.4	22.2	2.0	3.0252100840336134	0.0	tall
devonta freeman	0.30349696969696977	0.35393017782011793	33	D.Freeman	ATL	rb	89	1.5	7	0.2749505538872105	0.19014564328714065	0.7359263936232673	2017	d freeman	devonta freeman	/players/F/FreeDe00.htm	2014.0	2018.0	68.0	206.0	March 15, 1992	B	5612777	55.1	33.5	3.0	2.0252100840336134	0.0	short
