fuzzy_name	season	compound_mean_mean	compound_mean_std	user_count	Player	From	To	Pos_x	Ht	Wt	Birth Date	Colleges	Race	Rk	Pos_y	Age	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRBP	ASTP	STLP	BLKP	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	Tm	FG	FGA	FG%	3P	3PA	ThreePP	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PPG	year	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	white_black_diff	height_dummies
thabo sefolosha	2017	0.12175187500000005	0.4493208480319906	168	thabo sefolosha	2007	2018	G-F	79	220	2-May-84		B	444	SF	33	38	806	15.8	0.591	0.35	0.225	4.1	18.4	11.3	6.3	3.2	1.3	10.2	16.4	1.0	1.6	2.6	0.156	-0.3	2.3	1.9	0.8	UTA	3.1	6.3	0.49200000000000005	0.8	2.2	0.381	2.3	4.1	0.551	0.5579999999999999	1.2	1.4	0.815	0.8	3.5	4.2	0.9	1.4	0.3	0.8	1.6	8.2	2018	48	1154504	81.7	1.6	0.1022	11	0.0	6.618534482758619	80.10000000000001	medium
thon maker	2016	0.19472603210223388	0.41043170071006696	369	thon maker	2017	2018	F-C	85	216	25-Feb-97		B	281	C	19	57	562	14.0	0.5579999999999999	0.409	0.271	8.4	15.2	11.8	6.2	0.9	4.1	7.7	17.8	0.8	0.5	1.3	0.113	-0.5	-1.0	-1.5	0.1	MIL	1.5	3.2	0.45899999999999996	0.5	1.3	0.37799999999999995	1.0	1.9	0.514	0.536	0.6	0.9	0.653	0.7	1.3	2.0	0.4	0.2	0.5	0.3	1.5	4.0	2017	42	1571730	73.8	16.6	0.3745	0	7.381465517241381	0.0	57.199999999999996	tall
thon maker	2017	0.17936172049908167	0.4271107282062274	631	thon maker	2017	2018	F-C	85	216	25-Feb-97		B	312	C	20	74	1238	10.2	0.499	0.32899999999999996	0.294	7.1	14.2	10.6	5.2	1.5	3.7	11.0	14.6	0.3	1.1	1.5	0.055999999999999994	-2.7	0.0	-2.7	-0.2	MIL	1.8	4.3	0.41100000000000003	0.4	1.4	0.298	1.3	2.9	0.467	0.46	0.9	1.3	0.6990000000000001	1.0	2.0	3.0	0.6	0.5	0.7	0.6	2.2	4.8	2018	44	1571730	73.8	16.6	0.3745	1	6.381465517241381	0.0	57.199999999999996	tall
tim frazier	2015	0.21770680751173704	0.4585235984612492	71	tim frazier	2015	2018	G	73	170	1-Nov-90	Pennsylvania State University	B	143	PG	25	51	741	13.9	0.499	0.21	0.32299999999999995	3.8	12.8	8.2	33.3	2.2	0.2	19.9	19.4	0.4	0.5	1.0	0.062	-0.7	-0.7	-1.3	0.1	POR	1.9	4.5	0.419	0.3	0.9	0.33299999999999996	1.6	3.5	0.442	0.45399999999999996	1.0	1.5	0.716	0.5	1.6	2.2	3.2	0.6	0.0	1.3	1.4	5.1	2016	44	2351319	81.9	2.8	0.5833	1	1.3814655172413808	0.0	79.10000000000001	medium
tim frazier	2016	0.21770680751173704	0.4585235984612492	71	tim frazier	2015	2018	G	73	170	1-Nov-90	Pennsylvania State University	B	140	PG	26	65	1525	12.4	0.504	0.317	0.319	2.3	9.7	6.0	31.4	1.8	0.3	18.0	16.3	1.0	1.4	2.4	0.075	-1.5	-0.7	-2.2	-0.1	NOP	2.5	6.2	0.40299999999999997	0.6	2.0	0.313	1.9	4.2	0.446	0.45299999999999996	1.5	2.0	0.76	0.5	2.1	2.7	5.2	0.9	0.1	1.6	2.0	7.1	2017	34	1250247	58.2	34.9	0.66	2	0.3814655172413808	0.0	23.300000000000004	medium
tim frazier	2017	0.1362155107526882	0.4340750368740706	124	tim frazier	2015	2018	G	73	170	1-Nov-90	Pennsylvania State University	B	165	PG	27	59	838	11.3	0.475	0.326	0.174	2.4	13.1	7.8	31.1	2.8	0.7	23.5	12.8	0.4	1.0	1.4	0.08	-2.4	0.3	-2.1	0.0	WAS	1.2	2.9	0.395	0.3	0.9	0.304	0.9	2.0	0.44	0.445	0.4	0.5	0.767	0.3	1.6	1.9	3.3	0.8	0.1	1.0	1.6	3.0	2018	43	6011752	55.1	25.4	0.3622	3	0.0	0.6185344827586192	29.700000000000003	medium
tim hardaway	2015	0.07801779999999997	0.4356716589372631	125	tim hardaway	2014	2018	G	78	205	16-Mar-92	University of Michigan	B	176	SG	23	51	864	11.7	0.563	0.536	0.21100000000000002	0.9	9.8	5.4	8.9	1.2	0.6	7.4	16.2	0.9	1.0	1.9	0.105	-0.9	-1.2	-2.1	0.0	ATL	2.2	5.2	0.43	0.9	2.8	0.33799999999999997	1.3	2.4	0.537	0.521	1.0	1.1	0.893	0.1	1.5	1.7	1.0	0.4	0.1	0.5	0.9	6.4	2016	48	5612777	55.1	33.5	0.4212	2	3.381465517241381	0.0	21.6	medium
tim hardaway	2016	0.07801779999999997	0.4356716589372631	125	tim hardaway	2014	2018	G	78	205	16-Mar-92	University of Michigan	B	171	SG	24	79	2154	15.2	0.568	0.457	0.235	1.8	9.5	5.7	14.3	1.3	0.6	9.5	22.5	2.7	2.1	4.8	0.107	1.3	-1.5	-0.3	0.9	ATL	5.3	11.5	0.455	1.9	5.3	0.35700000000000004	3.4	6.3	0.537	0.537	2.1	2.7	0.7659999999999999	0.4	2.4	2.8	2.3	0.7	0.2	1.3	1.3	14.5	2017	43	5612777	55.1	33.5	0.4212	3	2.381465517241381	0.0	21.6	medium
tim hardaway	2017	0.11336349507735591	0.43497609828189326	237	tim hardaway	2014	2018	G	78	205	16-Mar-92	University of Michigan	B	193	SG	25	57	1885	14.4	0.5329999999999999	0.479	0.209	1.9	11.3	6.6	12.7	1.6	0.5	9.0	23.8	1.6	1.1	2.6	0.067	1.7	-1.8	-0.1	0.9	NYK	6.3	15.0	0.42100000000000004	2.3	7.2	0.317	4.0	7.8	0.516	0.496	2.6	3.1	0.816	0.6	3.4	3.9	2.7	1.1	0.2	1.6	2.2	17.5	2018	29	20031443	58.7	17.1	0.772	4	1.3814655172413808	0.0	41.6	medium
timofey mozgov	2015	0.14458699895363503	0.4243624070527719	382	timofey mozgov	2011	2018	C	85	275	16-Jul-86		W	317	C	29	76	1326	14.6	0.593	0.019	0.265	9.5	19.2	14.4	3.9	0.9	3.5	15.0	16.1	1.8	1.9	3.7	0.133	-2.2	1.0	-1.2	0.3	CLE	2.7	4.7	0.565	0.0	0.1	0.14300000000000002	2.7	4.6	0.574	0.5670000000000001	0.9	1.3	0.716	1.4	3.0	4.4	0.4	0.3	0.8	0.9	2.1	6.3	2016	57	2061630	74.0	20.0	0.3499	5	0.0	2.618534482758619	54.0	tall
