fuzzy_name	year	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	player_join	Player	level_1	start_year	end_year	url	height	weight	birth_date	race	salary	standard_salary	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	rookie	white_black_diff	height_dummies
alfred morris	2013	0.06514325396825396	0.4803274028235799	42	A.Morris	WAS	rb	121	2.0	8	0.5526463138008049	0.2682538742257108	0.7399774767600397	a morris	alfred morris	1.0	2012.0	2018.0	/players/M/MorrAl00.htm	70.0	224.0	December 12, 1988	B		14.863362723999122	3.0	6011752.0	55.1	25.4	0.3622	1.0	3.588028169014085	0.0	True	29.700000000000003	short
alfred morris	2014	0.30399268292682924	0.4104363727426237	41	A.Morris	WAS	rb	77	-1.4	8	0.02175560720797756	-0.032729459121647674	0.784334187739735	a morris	alfred morris	2.0	2012.0	2018.0	/players/M/MorrAl00.htm	70.0	224.0	December 12, 1988	B	600775.0	13.305975767381206	4.0	6011752.0	55.1	25.4	0.3622	2.0	2.588028169014085	0.0	False	29.700000000000003	short
alfred morris	2015	0.1708965909090909	0.41102545391639383	44	A.Morris	WAS	rb	-52	-15.0	2	-1.5903489542510862	-1.4092435871146998	-0.8785812692394365	a morris	alfred morris	3.0	2012.0	2018.0	/players/M/MorrAl00.htm	70.0	224.0	December 12, 1988	B	1572775.0	14.26835213302999	9.0	6011752.0	55.1	25.4	0.3622	3.0	1.588028169014085	0.0	False	29.700000000000003	short
alfred morris	2017	0.13801500000000005	0.4740956901801243	20	A.Morris	DAL	rb	79	8.4	1	0.1694593209672195	0.7344018843994061	-1.2595663275475155	a morris	alfred morris	5.0	2012.0	2018.0	/players/M/MorrAl00.htm	70.0	224.0	December 12, 1988	B	2137500.0	14.575147479793053	9.0	6957123.0	69.7	15.3	0.2624	5.0	0.0	0.41197183098591506	False	54.400000000000006	short
allen hurns	2014	0.20248030303030304	0.37248241756729983	33	A.Hurns	JAC	wr	-13	-14.4	6	-0.9051101633019256	-0.9960903999458728	0.3169954108637593	a hurns	allen hurns	0.0	2014.0	2018.0	/players/H/HurnAl01.htm	75.0	201.0	November 12, 1991	B	421666.0	12.951968810446733	3.0	1424097.0	70.4	21.4	-0.015006974021	0.0	4.588028169014085	0.0	True	49.00000000000001	tall
allen hurns	2015	0.18802536458333335	0.3696255972799931	64	A.Hurns	JAC	wr	236	16.1	10	0.9076218191172314	0.8925282478920814	1.4756647536862104	a hurns	allen hurns	1.0	2014.0	2018.0	/players/H/HurnAl01.htm	75.0	201.0	November 12, 1991	B	511666.0	13.14542734740288	5.0	1424097.0	70.4	21.4	-0.015006974021	1.0	3.588028169014085	0.0	True	49.00000000000001	tall
allen hurns	2016	0.1503066666666667	0.45335541122709555	25	A.Hurns	JAC	wr	-71	-24.0	3	-1.4268985381095385	-1.559371660693626	-0.5308043554619281	a hurns	allen hurns	2.0	2014.0	2018.0	/players/H/HurnAl01.htm	75.0	201.0	November 12, 1991	B	9001668.0	16.012920451461728	3.0	1424097.0	70.4	21.4	-0.015006974021	2.0	2.588028169014085	0.0	False	49.00000000000001	tall
allen hurns	2017	0.127419696969697	0.41847384979145374	33	A.Hurns	JAC	wr	149	20.6	2	0.3212280000751181	1.259340029309916	-0.8139736490176532	a hurns	allen hurns	3.0	2014.0	2018.0	/players/H/HurnAl01.htm	75.0	201.0	November 12, 1991	B	7000000.0	15.761420707019589	10.0	1424097.0	70.4	21.4	-0.015006974021	3.0	1.588028169014085	0.0	False	49.00000000000001	tall
allen robinson	2014	0.07748333333333333	0.4761712179330863	12	A.Robinson	JAC	wr	10	-11.1	2	-0.7461418988617294	-0.7812957823820603	-0.8321129535173677	a robinson	allen robinson	0.0	2014.0	2018.0	/players/R/RobiAl02.htm	75.0	211.0	August 24, 1993	B	638340.0	13.366626335738466	3.0	1424097.0	70.4	21.4	-0.015006974021	0.0	4.588028169014085	0.0	True	49.00000000000001	tall
allen robinson	2015	0.1896095029239766	0.39490812530152275	57	A.Robinson	JAC	wr	318	14.0	14	1.5588966187131204	0.75384402362785	2.6983584067405	a robinson	allen robinson	1.0	2014.0	2018.0	/players/R/RobiAl02.htm	75.0	211.0	August 24, 1993	B	797925.0	13.589769887052677	5.0	1424097.0	70.4	21.4	-0.015006974021	1.0	3.588028169014085	0.0	True	49.00000000000001	tall
